pre_corridor_id,post_corridor_id,metric,pre_value,post_value
Alabama Ave,Alabama Ave,Stops Per Hour,71.21089052386841,61.2369721768928
Bladensburg,Bladensburg,Stops Per Hour,58.45105672633086,51.37577770302266
Connecticut Ave,Connecticut Ave,Stops Per Hour,54.796004564098055,64.5214993612746
Foggy Bottom / Mt Pleasant / Brookland,Foggy Bottom / Mt Pleasant / Brookland,Stops Per Hour,54.77946206592917,44.143046594533814
Georgetown / LeDroit Park,Georgetown / LeDroit Park,Stops Per Hour,53.424081823131836,50.25154453513509
Georgia Ave,Georgia Ave,Stops Per Hour,44.03353165538978,41.54624096267926
H St / Benning Rd / D St,H St / Benning Rd / D St,Stops Per Hour,39.10591372824809,43.243306786617
Irving / Michigan,Irving / Michigan,Stops Per Hour,64.79602970512106,45.65001228236095
K St / Ivy City,K St / Ivy City,Stops Per Hour,56.18788061566985,53.2921699842898
Kansas / Eastern,Kansas / Eastern,Stops Per Hour,57.4528294323096,60.33442078754579
MLK Ave / 4 St SE,MLK Ave / 4 St SE,Stops Per Hour,77.42649826989172,78.5304058456537
MLK Ave / Bellevue,MLK Ave / Bellevue,Stops Per Hour,81.32655987546754,63.20668333940858
MacArthur Blvd,MacArthur Blvd,Stops Per Hour,62.159450944449745,61.48961253995723
Maryland Ave,Maryland Ave,Stops Per Hour,63.2936181568257,68.63448581736999
Massachusetts Ave,Massachusetts Ave,Stops Per Hour,69.67194271013757,56.77019256492238
Minnesota Ave / Eastern,Minnesota Ave / Eastern,Stops Per Hour,76.58506025966392,68.16248738865352
Minnesota Ave / Pennsylvania Ave,Minnesota Ave / Pennsylvania Ave,Stops Per Hour,75.20278816937216,60.16832717513476
N Capitol St,N Capitol St,Stops Per Hour,50.14361082373971,55.24045540670717
Naylor Rd - Shepherd Pkwy,Naylor Rd - Shepherd Pkwy,Stops Per Hour,92.84692893202468,53.680341360465526
Pennsylvania Ave,Pennsylvania Ave,Stops Per Hour,50.83637383470322,48.848464972607125
Rhode Island Ave / NE,Rhode Island Ave / NE,Stops Per Hour,49.52027691193883,50.314336459867604
Skyland / Barry Farm,Skyland / Barry Farm,Stops Per Hour,79.2785816238777,71.1604859244812
Southern Av / Anacostia,Southern Av / Anacostia,Stops Per Hour,89.04780040745399,72.59689441387349
U St,U St,Stops Per Hour,54.85605928520691,49.8053492657754
Upper NW,Upper NW,Stops Per Hour,83.78103660694671,61.26167520000048
Wisconsin Ave,Wisconsin Ave,Stops Per Hour,46.62571990829883,39.28726058783828
